step,total_steps,train_loss,train_acc
1,2500,1.2451,37.5
10,2500,1.3416,12.5
20,2500,1.1335,56.2
30,2500,1.0144,50.0
40,2500,0.5526,81.2
50,2500,0.6533,81.2
60,2500,0.8885,62.5
70,2500,0.6458,75.0
80,2500,1.0143,62.5
90,2500,0.6697,68.8
100,2500,0.8726,75.0
110,2500,0.6759,75.0
120,2500,0.8904,56.2
130,2500,0.8832,50.0
140,2500,1.0211,56.2
150,2500,1.0063,62.5
160,2500,0.3824,75.0
170,2500,0.3111,87.5
180,2500,0.3602,93.8
190,2500,0.9297,56.2
200,2500,0.6094,75.0
210,2500,0.6062,75.0
220,2500,0.3115,81.2
230,2500,0.7606,68.8
240,2500,0.8967,68.8
250,2500,0.3008,93.8
260,2500,0.8409,75.0
270,2500,0.9543,56.2
280,2500,0.8089,62.5
290,2500,0.6827,68.8
300,2500,0.6726,62.5
310,2500,0.6332,75.0
320,2500,0.6026,81.2
330,2500,0.5578,81.2
340,2500,0.7521,75.0
350,2500,0.714,75.0
360,2500,0.8308,62.5
370,2500,0.4072,81.2
380,2500,0.4635,87.5
390,2500,0.2005,93.8
400,2500,0.9021,62.5
410,2500,0.3678,81.2
420,2500,0.5063,81.2
430,2500,0.4038,93.8
440,2500,0.6862,68.8
450,2500,0.2527,93.8
460,2500,0.7549,68.8
470,2500,0.4598,87.5
480,2500,0.513,81.2
490,2500,0.8214,68.8
500,2500,0.7195,68.8
510,2500,0.5903,75.0
520,2500,0.5655,81.2
530,2500,0.442,81.2
540,2500,0.5125,81.2
550,2500,0.467,87.5
560,2500,0.6642,87.5
570,2500,1.0905,62.5
580,2500,0.3244,93.8
590,2500,0.2887,81.2
600,2500,0.4588,81.2
610,2500,0.6615,75.0
620,2500,0.5707,75.0
630,2500,0.534,81.2
640,2500,0.4412,87.5
650,2500,0.1223,100.0
660,2500,0.8839,75.0
670,2500,0.5836,68.8
680,2500,0.2775,87.5
690,2500,0.5436,87.5
700,2500,0.473,81.2
710,2500,0.2982,87.5
720,2500,0.6304,75.0
730,2500,0.7237,62.5
740,2500,0.618,75.0
750,2500,0.3278,81.2
760,2500,0.6204,68.8
770,2500,0.7792,62.5
780,2500,0.4968,81.2
790,2500,0.6094,68.8
800,2500,0.7491,68.8
810,2500,0.6621,75.0
820,2500,0.1986,100.0
830,2500,0.4321,87.5
840,2500,0.7532,68.8
850,2500,0.3387,87.5
860,2500,0.3596,93.8
870,2500,0.8838,68.8
880,2500,0.55,75.0
890,2500,0.3277,93.8
900,2500,0.8385,68.8
910,2500,0.4635,75.0
920,2500,0.4523,81.2
930,2500,1.2741,56.2
940,2500,0.4411,87.5
950,2500,0.1644,93.8
960,2500,0.5368,68.8
970,2500,0.7282,75.0
980,2500,0.5706,75.0
990,2500,0.6633,75.0
1000,2500,0.3793,81.2
1010,2500,0.3368,87.5
1020,2500,0.7363,75.0
1030,2500,0.4901,81.2
1040,2500,0.5021,87.5
